class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor,,
2023201,PRO2315,Ergonomia I,Fausto Leopoldo Mascia,2023-08-07,2023-12-21,producao-manual,seg,18:50,20:30,Produção,FAU,,,"seg, 18:50-20:30"
2023201,PRO2514,Pesquisa Quantitativa em Gestão de Operações,Renato de Oliveira Moraes,2023-08-07,2023-12-21,producao-manual,sex,09:20,12:50 ,Produção,D2-114,2,,"sex, 09:20-12:50 "
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,S-04 - Eng. Civil,2,,"seg, 07:30-09:10 "
2023201,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,ter,07:30,11:00,Produção,S-04 - Eng. Civil,2,,"ter, 07:30-11:00"
2023202,PRO3200,Estatística,Daniel de Oliveira Mota,2023-08-07,2023-12-21,producao-manual,seg,07:30,09:10 ,Produção,D1-02,1,,"seg, 07:30-09:10 "
2023202,PRO3200,Estatística,Daniel de Oliveira Mota,2023-08-07,2023-12-21,producao-manual,qui,07:30,09:10,Produção,D1-02,1,,"qui, 07:30-09:10"
2023203,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,ter,07:30,09:10,Produção,D2-015,2,,"ter, 07:30-09:10"
2023203,PRO3200,Estatística,José Joaquim do Amaral Ferreira,2023-08-07,2023-12-21,producao-manual,qua,07:30,09:10,Produção,D2-015,2,,"qua, 07:30-09:10"
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,qua,15:00,16:40,Produção,S-24 - Eng. Civil,2,,"qua, 15:00-16:40"
2023204,PRO3200,Estatística,Luis Fernando Pinto de Abreu,2023-08-07,2023-12-21,producao-manual,sex,15:00,16:40,Produção,S-24 - Eng. Civil,2,,"sex, 15:00-16:40"
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,seg,13:10,14:50 ,Produção,D1-02,1,,"seg, 13:10-14:50 "
2023205,PRO3200,Estatística,Regina Meyer Branski,2023-08-07,2023-12-21,producao-manual,qua,13:10,14:50,Produção,D1-02,1,,"qua, 13:10-14:50"
